name;a;b;date
Torrecilla de la Abadesa;792;2937;2020-02-01
Torrelobatón;367;7166;2020-02-01
Tiedra;2410;6623;2020-02-01
Olmos de Peñafiel;225;1381;2020-02-01
Wamba;199;2586;2020-02-01
Aguilar de Campos;0;5374;2020-02-01
Quintanilla de Onésimo;3656;13750;2020-02-01
Matilla de los Caños;162;1484;2020-02-01
Brahojos de Medina;190;3283;2020-02-01
Villavicencio de los Caballeros;0;6119;2020-02-01
Boecillo;14404;69769;2020-02-01
Villalar de los Comuneros;184;5016;2020-02-01
Siete Iglesias de Trabancos;482;7912;2020-02-01
