name;a;b;date
Alaraz;0;9182;2020-08-01
Cilleros de la Bastida;0;538;2020-08-01
Valdelosa;0;4665;2020-08-01
Pizarral;0;1920;2020-08-01
Sanchotello;0;3624;2020-08-01
Castraz;0;990;2020-08-01
Herguijuela de la Sierra;0;2358;2020-08-01
La Fregeneda;0;5467;2020-08-01
Villar de Gallimazo;0;2793;2020-08-01
La Zarza de Pumareda;0;3927;2020-08-01
Fresno Alhándiga;0;4829;2020-08-01
Morille;0;6193;2020-08-01
Salmoral;0;4384;2020-08-01
Lagunilla;0;7819;2020-08-01
Zamayón;0;2861;2020-08-01
Martinamor;0;2954;2020-08-01
Valdecarros;0;6185;2020-08-01
Puebla de San Medel;0;1871;2020-08-01
San Morales;0;3476;2020-08-01
Valdelageve;0;1560;2020-08-01
Herguijuela del Campo;0;4543;2020-08-01
Sotoserrano;0;3818;2020-08-01
Sanchón de la Sagrada;0;932;2020-08-01
Vilvestre;0;6518;2020-08-01
La Encina;0;2535;2020-08-01
Salamanca;0;206420;2020-08-01
La Redonda;0;2290;2020-08-01
Encinas de Arriba;0;2146;2020-08-01
Nava de Francia;0;3507;2020-08-01
Valdefuentes de Sangusín;0;4287;2020-08-01
Villares de Yeltes;0;2852;2020-08-01
La Sierpe;0;2951;2020-08-01
Villasbuenas;0;4157;2020-08-01
Villaseco de los Reyes;0;8510;2020-08-01
Valsalabroso;0;2846;2020-08-01
Cabrillas;0;6874;2020-08-01
Valdelacasa;0;3204;2020-08-01
Almendra;0;4717;2020-08-01
Yecla de Yeltes;0;6012;2020-08-01
Terradillos;0;10771;2020-08-01
La Rinconada de la Sierra;0;2744;2020-08-01
Parada de Rubiales;0;6173;2020-08-01
Pelarrodríguez;0;2946;2020-08-01
Trabanca;0;3366;2020-08-01
San Miguel de Valero;0;6087;2020-08-01
Mogarraz;0;1642;2020-08-01
Santibáñez de la Sierra;0;1793;2020-08-01
Pastores;0;1797;2020-08-01
Monforte de la Sierra;0;746;2020-08-01
Aldehuela de Yeltes;0;2941;2020-08-01
Fuentes de Oñoro;0;11055;2020-08-01
Santiago de la Puebla;0;8774;2020-08-01
Berrocal de Salvatierra;0;3251;2020-08-01
Aldeavieja de Tormes;0;2984;2020-08-01
Calzada de Valdunciel;0;7963;2020-08-01
San Muñoz;0;6260;2020-08-01
Carrascal del Obispo;0;3522;2020-08-01
Frades de la Sierra;0;6154;2020-08-01
Ledrada;0;6122;2020-08-01
Palacios del Arzobispo;0;3911;2020-08-01
Villalba de los Llanos;0;2862;2020-08-01
Rollán;0;4520;2020-08-01
Cerralbo;0;4643;2020-08-01
Arabayona de Mógica;0;7129;2020-08-01
Saucelle;0;6559;2020-08-01
Santa Marta de Tormes;325;52488;2020-08-01
Fuenterroble de Salvatierra;0;7986;2020-08-01
Ahigal de los Aceiteros;0;3410;2020-08-01
Aldeadávila de la Ribera;0;16132;2020-08-01
Ituero de Azaba;0;4468;2020-08-01
Zamarra;0;5433;2020-08-01
Herguijuela de Ciudad Rodrigo;0;2818;2020-08-01
Garcirrey;0;1514;2020-08-01
